Intent,Statement
Desire,I’m yearning to have hours of fun outside with my friends
Question,I'd like to use your tablet; can I borrow it?
Imitation,Iâm baking like a naan master!
Emotion,"I’m blue like a song that plays softly in an empty room, filled with memories."
Complaint,"I wanted to share my answer, but someone else spoke up first."
Gratitude,I feel lucky to share smiles and silliness with someone like you.
Command,Off means off—do it now!
Desire,I’m raring to zoom off by air each holiday!
Pride,I spread a radiant scone!
Complaint,I’m always the one cleaning and it’s not fair.
Need,I want to cradle my duck’s warm body in my arms.
Question,Is there a path for me to become a superhero as an adult?
Complaint,He's a greedy dragon with all the blocks!
Imitation,I’m echoing her words like I’m part of the Star Wars story!
Comfort,I just need the peaceful comfort of your voice singing my favorite tune.
Complaint,It’s poking and prodding like it has a grudge against me.
Refusal,"No thanks, I’m not listening."
Refusal,"No,unless I want to go,I’m not moving an inch!"
Gratitude,Thank you for my bright paints.
Refusal,I want my full turn too.
Emotion,I’m stompy like a robot asked to dance when it wants to rest.
Need,I really need my travel guide; I have to learn more about this city.
Question,What's your decision regarding me watching TV?
Observation,The playground is crowded
Gratitude,I’m lucky to have someone who knows how to make my heart smile.
Comfort,Your gentle head pat is like a special friend that brings me peace.
Complaint,It’s not fair—I want to do my own work and keep it mine
Imitation,Buzz-buzz! I’m pretending to be the queen bee giving orders!
Comfort,It's the best feeling to feel all warm and loved after drinking warm soup.
Comfort,Lying on a picnic blanket makes me feel cozy!  
Attention,"I found the answer to the history question, look!  "
Desire,I want to explore every detail about dinosaurs.
Imitation,"Mama, Iâm playing like Iâm in a Ghanaian drumming group!  "
Imitation,I’m cooking like I’ve got a pot bubbling with imagination!
Emotion,"When someone is mean,I feel like my heart is shrinking away from the noise."
Comfort,I love how the fantastic globe in Coventry makes me feel relaxed.
Emotion,"I love how dancing turns tired into turbo, and even a few steps can flip my mood from “meh” to “marvellous!”"
Refusal,"I don’t like this game, I’m done."
Refusal,I don't agree with that.
Complaint,She keeps singing that annoying nursery rhyme.
Distress,"This dentist trip is broken my day, and I'm sad about it."
Comfort,I need some reassurance—I feel sick.
Need,I need some quiet time
Need,My plate is empty without bread.
Need,My hat holds my giggle-crumbs and daydreams—I need it to keep me whole.
Refusal,Iâm not ready to sleep yet!
Complaint,I wish we could stop and do something else—I’m too tired to walk more.
Command,"it's too quiet, fix it"
Refusal,"I won’t take that medicine, it tastes bad."
Complaint,"I was dreaming about the blue keyboard, and now I feel grumpy."
Imitation,I’m zapping like I’ve got a thunderbolt in my pocket!
Refusal,Not buying it! My heart hasn’t shouted “YES!” yet!
Complaint,I wish he would stop telling me what to do all the time.
Command,You hurry up! Watch me
Complaint,I feel lost—it’s hard to care when I don’t understand.
Distress,The teasing is making me feel defeated and drained.
Command,"My turn! Daddy, you let us play Ayo!"
Question,Which animal's sound is your go-to favorite?
Emotion,I’m disappointed when I try hard and it still doesn’t work out.
Distress,"I'm unbelievably sad because the shadows are so scary, like giant, frightening monsters."
Command,Let’s look in my backpack together!
Imitation,"Look, I'm flying like a bird!"
Distress,"My nose is so runny, and it’s giving me a weird itchy feeling inside"
Complaint,"My blanket fell on the floor, and now it's dirty."
Need,I'd be very grateful if you could assist me in opening this right now.
Command,"Fetch my superhero cup, I’m thirsty!"
Imitation,I’m copying the way bakers press and fold like doughy artists!
Observation,My shadow follows me everywhere!  
Need,I need some quiet time.
Emotion,My robot voice makes me feel like I’m made of buttons and giggles.
Comfort,A soothing tune would make my dreams feel soft and happy.
Comfort,I feel happy with a blue Diwali lamp!
Emotion,Feeling not good enough makes me feel like my story is written in pencil—easily erased.
Distress,I just stubbed my toe on the table.
Emotion,"my eyes are doing the slow blink thing, but I’m not ready to say goodnight to today yet."
Imitation,I’m echoing your words like a parrot with a plan!
Imitation,I’m copying you on purpose—because you say the best things!
Comfort,Just knowing you’re here makes me feel okay.
Refusal,"Not now! I spent hours on this, and I’m proud of it."
Question,How do fish get oxygen to live when they are submerged in water?
Need,My inclination is to eat more crackers.
Pride,I made a red kite in Ripon!
Emotion,That feeling makes me feel like my confidence is tangled in the scoreboard.
Desire,Superman wants to breathe in some oxygen.
Comfort,"I want to sit on your lap, it feels safe and soft."
Desire,I’d love to share a tub of ice cream with someone and laugh between bites.
Distress,I need a blanket now to stop feeling all wobbly and cold
Question,How do you achieve that result?
Imitation,I’m bowling like I’ve got a secret delivery up my sleeve!
Command,"Stay still, give me a second"
Question,Why is the moon so big tonight?  
Command,Close eyes!
Command,"Hop off, I’m not a cushion!"
Desire,I’m longing for a cup to use.
Observation,The dog is barking loudly.
Distress,My clothes ripped and I feel shaken and worried
Gratitude,Yay for my shimmery moon in Gloucester!
Complaint,He laughed at my picture
Need,I want to play outside with my friends.
Command,I’ve got ideas! Help me make them
Possession,"Thatâs my favorite teddy, I sleep with it every night!  "
Complaint,I feel like someone took my special treat.
Desire,I’d be so happy if mummy walked through that door.
Comfort,My body feels heavy and my mind needs a little rest.
Comfort,I feel warm with a swirly maze in St Albans!
Command,"Dada, listen while I tell you a science fact!  "
Gratitude,I’m so lucky to have a daddy who makes learning feel like an adventure.
Distress,I feel forsaken because I don’t know how to fix it.
Complaint,"I was hoping to go first, but I didn’t get picked."
Imitation,I’m whisking like I’m making the fluffiest cake ever!
Question,Is it trying to keep track of how many times I say “please”?
Imitation,I’m copying the way Simba stands tall with pride!
Complaint,I don’t like how cold it feels right now.
Distress,Boo-boo!
Distress,I feel shaken because I don’t know if it was real or just a dream.
Comfort,"Hold my hand, I'm scared of the dark."
Complaint,My socks are soaked and squishy!
Command,"Sit with me, Mummy help me tie my shoelaces now"
Complaint,"It's not fair,I worked hard and still got less."
Need,"My mood needs a curry cuddle—soft, warm, and full of flavor."
Complaint,I feel upset because the Wi-Fi isn’t working.
Distress,The dog’s noise made me feel frightened and uneasy inside
Command,"Seal the door quietly, tiptoe style!"
Command,"Teach me about clouds, I want to understand!"
Comfort,Tell story! Soft voice!
Desire,I want to visit the big science museum in the city.
Possession,Her doll.
Distress,This nasty worry about my little sister is making me feel frustrated.
Comfort,Your closeness makes me feel warm and calm.
Complaint,The music is so loud it’s making me feel overwhelmed.
Distress,The broken string on my guitar makes me feel nervous and upset
Complaint,It’s not fair—I have things to say too.
Command,Please listen—don’t do that!
Possession,"This is my football, I brought it from home!  "
Desire,I just have to go to the science museum.
Command,No! Don't be quiet! Let's practice music together!
Emotion,unfairness makes my chest feel tight and my thoughts swirl like a storm—it’s hard when things don’t feel equal.
Need,My current preference is to view some programs on TV.
Comfort,I just want to feel your presence right here.
Complaint,He keeps saying things that make me feel silly and I don’t like it.
Observation,This toy is broken.
Imitation,I’m pretending I’m on a stage with lights and music all around!
Refusal,"I’m keeping it, mine!"
Need,"I'm really in the mood for milk because of that unique creamy, cold flavor."
Emotion,I’m playful like a storyteller spinning tales with every silly sound.
